The video is over!
Time of video Queue Density, Dynamic Density
21.3149, 0.235224, 0
21.3815, 0.233958, 0
21.4482, 0.234946, 0
21.5148, 0.236358, 0
21.5814, 0.235552, 0
21.648, 0.236061, 0
21.7146, 0.234182, 0
21.7812, 0.23483, 0
21.8478, 0.235552, 0
21.9144, 0.2362, 0
21.981, 0.235046, 0
22.0476, 0.233256, 0
22.1142, 0.234946, 0
22.1809, 0.233835, 0
22.2475, 0.2349, 0
22.3141, 0.2336, 0
22.3807, 0.234614, 0
22.4473, 0.234784, 0
22.5139, 0.233819, 0
22.5805, 0.23517, 0
22.6471, 0.23728, 0
22.7137, 0.23907, 0
22.7803, 0.240424, 0
22.8469, 0.242049, 0
22.9136, 0.243021, 0
22.9802, 0.23515, 0
23.0468, 0.23647, 0
23.1134, 0.241721, 0
23.18, 0.241289, 0
23.2466, 0.2401, 0
23.3132, 0.239985, 0
23.3798, 0.241829, 0
23.4464, 0.239676, 0
23.513, 0.239661, 0
23.5796, 0.238989, 0
23.6463, 0.238156, 0
23.7129, 0.241983, 0
23.7795, 0.242323, 0
23.8461, 0.241802, 0
23.9127, 0.242812, 0
23.9793, 0.243133, 0
24.0459, 0.240775, 0
24.1125, 0.241771, 0
24.1791, 0.242454, 0
24.2457, 0.243017, 0
24.3124, 0.24385, 0
24.379, 0.241852, 0
24.4456, 0.243279, 0
24.5122, 0.243565, 0
24.5788, 0.243843, 0
24.6454, 0.241154, 0
24.712, 0.240768, 0
24.7786, 0.241354, 0
24.8452, 0.243893, 0
24.9118, 0.244194, 0
24.9784, 0.24365, 0
25.0451, 0.242137, 0
25.1117, 0.244128, 0
25.1783, 0.243627, 0
25.2449, 0.243418, 0
25.3115, 0.244043, 0
25.3781, 0.2412, 0
25.4447, 0.24515, 0
25.5113, 0.245413, 0
25.5779, 0.247392, 0
25.6445, 0.250255, 0
25.7111, 0.252415, 0
25.7778, 0.254637, 0
25.8444, 0.255401, 0
25.911, 0.256991, 0
25.9776, 0.256636, 0
26.0442, 0.25527, 0
26.1108, 0.257095, 0
26.1774, 0.258036, 0
26.244, 0.258954, 0
26.3106, 0.253765, 0
26.3772, 0.253777, 0
26.4438, 0.256281, 0
26.5105, 0.256655, 0
26.5771, 0.256991, 0
26.6437, 0.257311, 0
26.7103, 0.257257, 0
26.7769, 0.258441, 0
26.8435, 0.261956, 0
26.9101, 0.266408, 0
26.9767, 0.268715, 0
27.0433, 0.275204, 0
27.1099, 0.27838, 0
27.1765, 0.282307, 0
27.2432, 0.28946, 0
27.3098, 0.295324, 0
27.3764, 0.300633, 0
27.443, 0.306987, 0
27.5096, 0.313117, 0
27.5762, 0.317091, 0
27.6428, 0.321412, 0
27.7094, 0.326798, 0
27.776, 0.329452, 0
27.8426, 0.335802, 0
27.9092, 0.339198, 0
27.9759, 0.341065, 0
28.0425, 0.347635, 0
28.1091, 0.351543, 0
28.1757, 0.354514, 0
28.2423, 0.361952, 0
28.3089, 0.369927, 0
28.3755, 0.37093, 0
28.4421, 0.376647, 0
28.5087, 0.38103, 0
28.5753, 0.385035, 0
28.6419, 0.389406, 0
28.7086, 0.394132, 0
28.7752, 0.397461, 0
28.8418, 0.403079, 0
28.9084, 0.408106, 0
28.975, 0.409147, 0
29.0416, 0.408468, 0
29.1082, 0.41164, 0
29.1748, 0.414329, 0
29.2414, 0.419958, 0
29.308, 0.418395, 0
29.3746, 0.417797, 0
29.4413, 0.421385, 0
29.5079, 0.422434, 0
29.5745, 0.423569, 0
29.6411, 0.417137, 0
29.7077, 0.417874, 0
29.7743, 0.422701, 0
29.8409, 0.422731, 0
29.9075, 0.426211, 0
29.9741, 0.426142, 0
30.0407, 0.429599, 0
30.1073, 0.434113, 0
30.174, 0.434892, 0
30.2406, 0.437901, 0
30.3072, 0.438866, 0
30.3738, 0.440455, 0
30.4404, 0.442369, 0
30.507, 0.445509, 0
30.5736, 0.445008, 0
30.6402, 0.445532, 0
30.7068, 0.443974, 0
30.7734, 0.447562, 0
30.8401, 0.448279, 0
30.9067, 0.449591, 0
30.9733, 0.448866, 0
31.0399, 0.446682, 0
31.1065, 0.446377, 0
31.1731, 0.445517, 0
31.2397, 0.450486, 0
31.3063, 0.456744, 0
31.3729, 0.455687, 0
31.4395, 0.460274, 0
31.5061, 0.458657, 0
31.5728, 0.460394, 0
31.6394, 0.463013, 0
31.706, 0.463295, 0
31.7726, 0.461227, 0
31.8392, 0.462284, 0
31.9058, 0.461806, 0
31.9724, 0.461952, 0
32.039, 0.464236, 0
32.1056, 0.463904, 0
32.1722, 0.464487, 0
32.2388, 0.465864, 0
32.3055, 0.465837, 0
32.3721, 0.464124, 0
32.4387, 0.464263, 0
32.5053, 0.463792, 0
32.5719, 0.464286, 0
32.6385, 0.463584, 0
32.7051, 0.463376, 0
32.7717, 0.463823, 0
32.8383, 0.464433, 0
32.9049, 0.465621, 0
32.9715, 0.466319, 0
33.0382, 0.466887, 0
33.1048, 0.469803, 0
33.1714, 0.469394, 0
33.238, 0.473615, 0
33.3046, 0.476547, 0
33.3712, 0.476968, 0
33.4378, 0.482056, 0
33.5044, 0.487242, 0
33.571, 0.488985, 0
33.6376, 0.49191, 0
33.7042, 0.498638, 0
33.7709, 0.501694, 0
33.8375, 0.505829, 0
33.9041, 0.512458, 0
33.9707, 0.512913, 0
34.0373, 0.516887, 0
34.1039, 0.520899, 0
34.1705, 0.52164, 0
34.2371, 0.521524, 0
34.3037, 0.523677, 0
34.3703, 0.523939, 0
34.4369, 0.52304, 0
34.5036, 0.527427, 0
34.5702, 0.527932, 0
34.6368, 0.535343, 0
34.7034, 0.534641, 0
34.77, 0.540421, 0
34.8366, 0.540235, 0
34.9032, 0.541408, 0
34.9698, 0.541628, 0
35.0364, 0.540999, 0
35.103, 0.543461, 0
35.1696, 0.545015, 0
35.2363, 0.545293, 0
35.3029, 0.544753, 0
35.3695, 0.545231, 0
35.4361, 0.546343, 0
35.5027, 0.544429, 0
35.5693, 0.545459, 0
35.6359, 0.544626, 0
35.7025, 0.544842, 0
35.7691, 0.543125, 0
35.8357, 0.542816, 0
35.9023, 0.545999, 0
35.969, 0.546863, 0
36.0356, 0.542689, 0
36.1022, 0.54679, 0
36.1688, 0.548592, 0
36.2354, 0.548931, 0
36.302, 0.522766, 0
36.3686, 0.526863, 0
36.4352, 0.527172, 0
36.5018, 0.526196, 0
36.5684, 0.527805, 0
36.635, 0.52669, 0
36.7017, 0.526609, 0
36.7683, 0.528032, 0
36.8349, 0.529475, 0
36.9015, 0.528862, 0
36.9681, 0.527878, 0
37.0347, 0.527465, 0
37.1013, 0.526844, 0
37.1679, 0.529063, 0
37.2345, 0.523021, 0
37.3011, 0.522662, 0
37.3678, 0.526142, 0
37.4344, 0.526509, 0
37.501, 0.524938, 0
37.5676, 0.52483, 0
37.6342, 0.524819, 0
37.7008, 0.523094, 0
37.7674, 0.526265, 0
37.834, 0.522083, 0
37.9006, 0.524267, 0
37.9672, 0.526597, 0
38.0338, 0.530054, 0
