The video is over!
The video is over!
The video is over!
   Frame Number   Queue Density Dynamic Density
            146        0.253407        0.000000
            147        0.253659        0.000000
            148        0.254807        0.000000
            149        0.254238        0.000000
            150        0.254730        0.000000
            151        0.255779        0.000000
            152        0.255009        0.000000
            153        0.255529        0.000000
            154        0.256409        0.000000
            155        0.255693        0.000000
            156        0.255269        0.000000
            157        0.256153        0.000000
            158        0.255127        0.000000
            159        0.254386        0.000000
            160        0.255269        0.000000
            161        0.254574        0.000000
            162        0.253466        0.000000
            163        0.254039        0.000000
            164        0.253228        0.000000
            165        0.251623        0.000000
            166        0.252276        0.000000
            167        0.251323        0.000000
            168        0.249773        0.000000
            169        0.250290        0.000000
            170        0.249105        0.000000
            171        0.247665        0.000000
            172        0.247711        0.000000
            173        0.247380        0.000000
            174        0.246035        0.000000
            175        0.245806        0.000000
            176        0.245767        0.000000
            177        0.244407        0.000000
            178        0.244002        0.000000
            179        0.244083        0.000000
            180        0.242676        0.000000
            181        0.242182        0.000000
            182        0.242099        0.000000
            183        0.240662        0.000000
            184        0.240190        0.000000
            185        0.240167        0.000000
            186        0.239446        0.000000
            187        0.238887        0.000000
            188        0.238802        0.000000
            189        0.238420        0.000000
            190        0.237764        0.000000
            191        0.237307        0.000000
            192        0.237560        0.000000
            193        0.237512        0.000000
            194        0.237164        0.000000
            195        0.237381        0.000000
            196        0.237534        0.000000
            197        0.237438        0.000000
            198        0.237181        0.000000
            199        0.237418        0.000000
            200        0.237542        0.000000
            201        0.237318        0.000000
            202        0.237647        0.000000
            203        0.237784        0.000000
            204        0.237801        0.000000
            205        0.237952        0.000000
            206        0.237799        0.000000
            207        0.238111        0.000000
            208        0.238543        0.000000
            209        0.238076        0.000000
            210        0.238571        0.000000
            211        0.238872        0.000000
            212        0.238478        0.000000
            213        0.239201        0.000000
            214        0.239350        0.000000
            215        0.238988        0.000000
            216        0.239752        0.000000
            217        0.239951        0.000000
            218        0.238752        0.000000
            219        0.239285        0.000000
            220        0.239548        0.000000
            221        0.238454        0.000000
            222        0.238789        0.000000
            223        0.238722        0.000000
            224        0.237420        0.000000
            225        0.238029        0.000000
            226        0.237952        0.000000
            227        0.236458        0.000000
            228        0.237198        0.000000
            229        0.237134        0.000000
            230        0.235966        0.000000
            231        0.236630        0.000000
            232        0.236685        0.000000
            233        0.235380        0.000000
            234        0.235881        0.000000
            235        0.236170        0.000000
            236        0.235037        0.000000
            237        0.235213        0.000000
            238        0.235485        0.000000
            239        0.234136        0.000000
            240        0.234571        0.000000
            241        0.234690        0.000000
            242        0.233830        0.000000
            243        0.234003        0.000000
            244        0.234323        0.000000
            245        0.233285        0.000000
            246        0.233307        0.000000
            247        0.233713        0.000000
            248        0.233418        0.000000
            249        0.233617        0.000000
            250        0.234046        0.000000
            251        0.233571        0.000000
            252        0.233583        0.000000
            253        0.233949        0.000000
