The video is over!
The video is over!
The video is over!
The video is over!
   Frame Number   Queue Density Dynamic Density
             91        0.178761        0.000000
             92        0.180019        0.000000
             93        0.182082        0.000000
             94        0.183773        0.000000
             95        0.184441        0.000000
             96        0.185795        0.000000
             97        0.187389        0.000000
             98        0.188914        0.000000
             99        0.189344        0.000000
            100        0.190730        0.000000
            101        0.192156        0.000000
            102        0.193579        0.000000
            103        0.194142        0.000000
            104        0.195830        0.000000
            105        0.197216        0.000000
            106        0.199003        0.000000
            107        0.200131        0.000000
            108        0.201792        0.000000
            109        0.203272        0.000000
            110        0.205414        0.000000
            111        0.206252        0.000000
            112        0.208324        0.000000
            113        0.210275        0.000000
            114        0.212559        0.000000
            115        0.213315        0.000000
            116        0.215358        0.000000
            117        0.216877        0.000000
            118        0.219395        0.000000
            119        0.220049        0.000000
            120        0.221341        0.000000
            121        0.222844        0.000000
            122        0.224892        0.000000
            123        0.225373        0.000000
            124        0.226360        0.000000
            125        0.227551        0.000000
            126        0.228954        0.000000
            127        0.229529        0.000000
            128        0.230108        0.000000
            129        0.231100        0.000000
            130        0.232324        0.000000
            131        0.233398        0.000000
            132        0.234387        0.000000
            133        0.235275        0.000000
            134        0.236292        0.000000
            135        0.237409        0.000000
            136        0.238341        0.000000
            137        0.239849        0.000000
            138        0.240916        0.000000
            139        0.241966        0.000000
            140        0.243353        0.000000
            141        0.245002        0.000000
            142        0.245379        0.000000
            143        0.246495        0.000000
            144        0.248008        0.000000
            145        0.249254        0.000000
            146        0.249128        0.000000
            147        0.249748        0.000000
            148        0.250988        0.000000
            149        0.252067        0.000000
            150        0.252032        0.000000
            151        0.252373        0.000000
            152        0.252924        0.000000
            153        0.253675        0.000000
            154        0.253276        0.000000
            155        0.253127        0.000000
            156        0.253627        0.000000
            157        0.254101        0.000000
            158        0.253418        0.000000
            159        0.253302        0.000000
            160        0.253979        0.000000
            161        0.254175        0.000000
            162        0.253243        0.000000
            163        0.252721        0.000000
            164        0.253905        0.000000
            165        0.253800        0.000000
            166        0.252402        0.000000
            167        0.252113        0.000000
            168        0.252800        0.000000
            169        0.252538        0.000000
            170        0.250898        0.000000
            171        0.250492        0.000000
            172        0.250911        0.000000
            173        0.250595        0.000000
            174        0.248794        0.000000
            175        0.248235        0.000000
            176        0.248522        0.000000
            177        0.247819        0.000000
            178        0.246386        0.000000
            179        0.245810        0.000000
            180        0.246014        0.000000
            181        0.245232        0.000000
            182        0.244329        0.000000
            183        0.243995        0.000000
            184        0.243569        0.000000
            185        0.243068        0.000000
            186        0.242674        0.000000
            187        0.242051        0.000000
            188        0.241598        0.000000
            189        0.241173        0.000000
            190        0.240399        0.000000
            191        0.240029        0.000000
            192        0.240323        0.000000
            193        0.240028        0.000000
            194        0.239552        0.000000
            195        0.239519        0.000000
            196        0.239596        0.000000
            197        0.239584        0.000000
            198        0.239006        0.000000
            199        0.238995        0.000000
            200        0.239192        0.000000
            201        0.239110        0.000000
            202        0.238541        0.000000
            203        0.238880        0.000000
            204        0.238612        0.000000
            205        0.238791        0.000000
            206        0.238576        0.000000
            207        0.238498        0.000000
            208        0.238323        0.000000
            209        0.238836        0.000000
            210        0.238407        0.000000
            211        0.238364        0.000000
            212        0.238413        0.000000
            213        0.238921        0.000000
            214        0.238378        0.000000
            215        0.238516        0.000000
            216        0.238779        0.000000
            217        0.238495        0.000000
            218        0.237464        0.000000
            219        0.238040        0.000000
            220        0.238136        0.000000
            221        0.238009        0.000000
            222        0.237170        0.000000
            223        0.237853        0.000000
            224        0.238205        0.000000
            225        0.238106        0.000000
            226        0.236784        0.000000
            227        0.237727        0.000000
            228        0.238076        0.000000
            229        0.238254        0.000000
            230        0.236842        0.000000
            231        0.237712        0.000000
            232        0.237532        0.000000
            233        0.237535        0.000000
            234        0.236133        0.000000
            235        0.236820        0.000000
            236        0.236833        0.000000
            237        0.236667        0.000000
            238        0.235108        0.000000
            239        0.235911        0.000000
            240        0.235989        0.000000
            241        0.235743        0.000000
            242        0.234387        0.000000
            243        0.234938        0.000000
            244        0.235318        0.000000
            245        0.234816        0.000000
            246        0.233833        0.000000
            247        0.234311        0.000000
            248        0.234855        0.000000
            249        0.233956        0.000000
            250        0.233272        0.000000
            251        0.233548        0.000000
            252        0.234458        0.000000
            253        0.233366        0.000000
            254        0.232873        0.000000
            255        0.232878        0.000000
            256        0.233878        0.000000
            257        0.233311        0.000000
            258        0.233245        0.000000
            259        0.232891        0.000000
            260        0.233939        0.000000
            261        0.233376        0.000000
            262        0.233171        0.000000
            263        0.232816        0.000000
