Frame Number, Queue Density, Dynamic Density
411, 0.66366, 0.0313056
412, 0.66718, 0.0339275
413, 0.669486, 0.0357978
414, 0.669334, 0.044088
415, 0.669462, 0.0578951
416, 0.672135, 0.0750108
417, 0.670635, 0.0947585
418, 0.670005, 0.122133
419, 0.669148, 0.156821
420, 0.667695, 0.196834
421, 0.669212, 0.243035
422, 0.671884, 0.290584
423, 0.675213, 0.337489
424, 0.67447, 0.382889
425, 0.6745, 0.424659
426, 0.66645, 0.471632
427, 0.660584, 0.513651
428, 0.655434, 0.550929
429, 0.652345, 0.57892
430, 0.654811, 0.598985
431, 0.653458, 0.611257
432, 0.649078, 0.623262
433, 0.642745, 0.637673
434, 0.638489, 0.638489
435, 0.638449, 0.638449
436, 0.64233, 0.64233
437, 0.647182, 0.647182
438, 0.648112, 0.648112
439, 0.64513, 0.64513
440, 0.632899, 0.632899
441, 0.618307, 0.618307
442, 0.604804, 0.604804
443, 0.59586, 0.59586
444, 0.589321, 0.589321
445, 0.583375, 0.583375
446, 0.583916, 0.583916
447, 0.580409, 0.580409
448, 0.575912, 0.575912
449, 0.565158, 0.565158
450, 0.557609, 0.557609
451, 0.554746, 0.554746
452, 0.550197, 0.550197
453, 0.548322, 0.548322
454, 0.541993, 0.541993
455, 0.530696, 0.530696
456, 0.512777, 0.512777
457, 0.496519, 0.496519
458, 0.483455, 0.483455
459, 0.477147, 0.477147
460, 0.474065, 0.474065
461, 0.467946, 0.467946
462, 0.460743, 0.460743
463, 0.444743, 0.444743
464, 0.433232, 0.433232
465, 0.423789, 0.423789
466, 0.418877, 0.418877
467, 0.413053, 0.413053
468, 0.401053, 0.401053
469, 0.387325, 0.387325
470, 0.372031, 0.372031
471, 0.361279, 0.361279
472, 0.359933, 0.359933
473, 0.360534, 0.360534
474, 0.358508, 0.358508
475, 0.352086, 0.352086
476, 0.3348, 0.3348
477, 0.313285, 0.313285
478, 0.290748, 0.290748
479, 0.264049, 0.264049
480, 0.234843, 0.234843
481, 0.201228, 0.201228
482, 0.163629, 0.163629
483, 0.127933, 0.127933
484, 0.0933661, 0.0933661
485, 0.0632631, 0.0632631
486, 0.0413221, 0.0413221
487, 0.0254695, 0.0254695
488, 0.0151497, 0.0151497
489, 0.0109537, 0.0109537
490, 0.0108056, 0.0108056
491, 0.0117022, 0.0117022
492, 0.0144367, 0.0144367
493, 0.0224676, 0.0224676
494, 0.0318565, 0.0318565
495, 0.0421798, 0.0421798
496, 0.0496682, 0.0496682
497, 0.0549714, 0.0549714
498, 0.0591042, 0.0591042
499, 0.0631566, 0.0631566
500, 0.0682461, 0.0682461
501, 0.0741219, 0.0741219
502, 0.075978, 0.075978
503, 0.0698052, 0.0698052
504, 0.0612002, 0.0612002
505, 0.0557704, 0.0557704
506, 0.0624024, 0.0624024
507, 0.0811215, 0.0811215
508, 0.105888, 0.105888
509, 0.127925, 0.127925
510, 0.145619, 0.145619
511, 0.155068, 0.155068
512, 0.157953, 0.157953
513, 0.156775, 0.156775
514, 0.155274, 0.155274
515, 0.149421, 0.149421
516, 0.134314, 0.134314
517, 0.109409, 0.109409
518, 0.0796474, 0.0796474
519, 0.0522145, 0.0522145
520, 0.0278611, 0.0278611
521, 0.0112461, 0.0112461
522, 0.00340201, 0.00340201
523, 0.00219059, 0.00219059
524, 0.00219059, 0.00219059
525, 0.0020108, 0.0020108
526, 0.00438272, 0.00438272
527, 0.00967978, 0.00967978
528, 0.0154653, 0.0154653
529, 0.0236991, 0.0236991
530, 0.0361088, 0.0319363
531, 0.0495363, 0.0428233
532, 0.0626157, 0.0543719
533, 0.0748395, 0.0642716
534, 0.0887461, 0.0782631
535, 0.104472, 0.0962978
536, 0.120914, 0.114951
537, 0.134537, 0.131199
538, 0.148679, 0.148679
539, 0.164063, 0.164063
540, 0.175477, 0.175477
541, 0.18472, 0.182076
542, 0.19272, 0.191079
543, 0.204294, 0.201972
544, 0.220784, 0.213313
545, 0.242568, 0.22417
546, 0.260797, 0.232844
547, 0.277214, 0.243267
548, 0.29313, 0.249282
549, 0.310995, 0.257968
550, 0.331873, 0.270506
551, 0.355605, 0.286089
552, 0.382804, 0.299152
553, 0.410583, 0.309048
554, 0.434812, 0.312831
555, 0.451675, 0.312384
556, 0.470203, 0.311318
557, 0.49299, 0.310238
558, 0.517521, 0.310549
559, 0.538105, 0.305901
560, 0.55399, 0.299771
561, 0.569058, 0.291027
562, 0.583956, 0.280193
563, 0.596054, 0.268199
564, 0.60538, 0.258629
565, 0.617907, 0.254754
566, 0.628989, 0.250512
567, 0.638616, 0.240631
568, 0.646493, 0.225156
569, 0.653436, 0.212215
570, 0.659322, 0.199031
571, 0.666134, 0.18748
572, 0.677392, 0.178079
573, 0.687871, 0.169541
